input,translation
त्यहाँ त्यस्ता आठ–दस रोलर दिनभरि चलिरहन्थे  । ,होलाङ हुन्च आठाङ पैडीसल रोर याकभरी चैहरन्थे ।
महाबौद्धमा बस्दै गर्दा मलाई तिब्बती भाषा बोल्ने अभ्यास हुने गथ्र्यो  । ,ङाहाबौद्धाङ ङुच जाट्नाङ ङाके तिब्बती भाषा ङाक्के अभ्यास छान्ह्के जाटोला ।
विहान म मन्दिरको पुजारीकहाँ पुगेँ । ,गोराक मन्दिरो पुनुरीकटुङ ङाटाहाङ ।
हाइकु साथ चित्र भए त्यसलाई ‘हाइगा’ भन्ने गरिन्छ । ,काइकुटो साथ चीन्डीके डेनाङ होटार आर्चीक्म डेच गरी ।
यस्तो लाग्थ्यो तिम्रो र मेरो सम्बन्ध नङ र मासुको जस्तो । ,इन्च लैडीसोला नो अनी ङौ सम्बन्ध माम अनी स्याओ लख ।
संघर्षको विभिन्न ढोकाहरु ढक्ढक्याउने प्रयत्न गर्न बिर्सिएर त्यो अपरिचित मान्छे कहाँ गयो होला ? ,संघर्षो विभिन्न ढोकाको धुक्याके प्रयत्के जाट्के बीर्सिसार होस अरिचित भर्मी कुलाक नुहुँआ ?
नेपालमा व्यापारकुशल नेवार जाति नै हुन् । ,नेपालाङ व्यापारकुल नेवार न आले ।
उनीहरू धेरैजसो बौद्ध धर्मावलम्बी छन् । ,होसको ढेर बौद्ध ढुम्मावलबीर्लाङ ले ।
यही कारण केही मानिसहरू मलाई भेट्न आउन थालेका थिए  । ,होस कारण हीड भर्मीको ङाके डुप्के राहाके ठाल्च लेया ।
साँझ–बिहान अँध्यारोमा मात्र म बाहिर निस्किन्थेँ  । ,साँहिलाओ गोराक छुम्चाङ मात्रै ङा बहीरीङ ख्योहोला ।
तिम्रो पछिल्लो चिठी पाएर रमाइलो मानेँ । ,नो न्हुनीङो चिठी पाल्लो मराङ्च ङाङुआङ ।
"म जुन हाँगामा ढुक्कले बसिरहेको थिएँ , त्यही हाँगो भाँचिएर जमिनमा बजारिएको थियो  । ","ङा जुन रेट्केपाङ ढुक्के ङुमन ङालेयाङ , होस रेटा भ्याम जनडीस्च बाङ्माङ ङाह्च लेया ।"
तिब्बती भाषामा भिक्षुणीलाई आनी भनिन्छ  । ,तिब्बती भाषाङ भिक्षुके आउ डेले ।
अघिल्लो यात्रामा मैले यहाँ एक चिनियाँ लामालाई भेटेको थिएँ  । ,म्हेनीङ यात्राआङ ङै इलाङ काट चीन्डीच लामाङ डूप्च ङालेयाङ ।
म बसेको ठाउँमा त बिसौं दिनदेखि बिहान मडुवा वा मकैको पिठोको नुनिलो सुक्खा हलुवा खान पाइन्थ्यो र साँझमा यसैको पातलो खोले  । ,ङा ङुच ठाउँआङ च बिसौ याकव्हारा गोराक मकै मकै पीठोओ छेवाङ ङीहा ज्याओला रेट्च गाओला ।
यसले पनि हिँड्न गाह्रो परेको थियो  । ,इचे ड व्हाके गाह्रो परीस्च लेया ।
त्यसमाथि यतिका दिनसम्म कोठामा बन्दीजस्तै बसेको थिएँ । ,होसढेमाङ इतारो याकसम्म कोठाङ बन्दीजन ङुच ङालेयाङ ।
काठमाण्डु आज ‘म’ तिमीसँग पहिलो र अन्तिम पटक मेरो कथा भन्दैछु । ,काठाङडुवा छीनीङ मामराङ्च नाङकठा पहीलो अनी अन्ति पटक ङौ कथा डेमङुलाङ ।
"तिमीबाट जति मूल्य पाउन योग्य छन् , त्यति मूल्य तिनलाई दिनेछौ भन्ने आशा छ । ","नाङईङ जटी मूल्य डीन्ह्के इसेग्य ले , होटारै मूल्य होसके याहाके डेम आसले डेच आसा ।"
हाइकु जस्ता रूप तर खास हाइकू नहुँदा बारीमा चरालाई छकाउने नक्कली मान्छे ‘बुख्याँचा’ बनाए जस्तो हुने हुँदा ती काइते कामलाई ‘काइकु’ भन्ने गरेको छु । ,काइकुले लख छुट्डीस्च टर खास हाइङ माछान्ह्नाङ बारीआङ चूलीकाके छक्क माफ्डीचय छान्ह्च होस काम छान्ह्च होयोक्म छान्हा ।
हाइकुका पुस्तक साना ठूला थुप्रै पाइन्छन् । ,हाइका पुस्तक मार्ह्च करङ्च ठुप्रै पाइला ।
यसरी बसेको पनि एक महिनाभन्दा बढी भइसकेको थियो  । ,इटरी ङुच ड काट महीनाडेनाङ बढीस्मभ्याम लेया ।
अन्ततः यिनी मसँग जाने भए  । ,अन्टटनः इसे ङाकठा नुहुँके छान्हा ।
आफ्नै समस्याका चाँङहरु वरिपरि घुम्न थाल्यो । ,मेल्ल्लौ सम्याका चाँङको वरिपरी छम्के ठाला ।
उसको निस्पक्षताको होस नै गुम भयो । ,होच्यो मीझारपक्षौ त्यो न गुम छान्हा ।
ब्रम्हादेव कुर्सी हल्लाई हल्लाई झन् कराउन थाल्यो । ,चम्हेम्देव कुर्सी हल्लाके हल्लाके झन्के ठाला ।
कहिले यिनका आँखा खुलेको पनि देखिन्थ्यो । ,सेन इसे मीमीक खुस्च ड डाङोला ।
"मलाई नुन लिन त जानैपर्छ तर बाली भित्र्याउन अझै दस , पन्ध्र दिन बाँकी छ  । ","ङाके छा लाके च नुहुँकेपरीस्ले टर बाली भीट्री नुङ्के अझै , पसै याक छ्याक्डीस्म ले ।"
तर तिमीमा धैर्यताको कमी छ । ,टर नाङआङ धैर्यताओ कच ले ।
खुसी भइरहनू । ,खुसी छान्ह्मङुआ ।
दसरतनले मेरो समस्या बुझेको थिएँ  । ,खसने ङौ समेस व्हाम ङालेयाङ ।
यसलाई चुट्का जस्तो खदिलो पार्न सकिन्छ । ,होसके चुट्का लख खयाहालो पार्के य्होक्ले ।
"तिम्रो , चेखब । ","नो , चेक ।"
यही चुनौतीको सामना गर्न आजका युवाले कम्मर कसेका छन् । ,इलाङ चुलौ सामना जाट्के छीनीङ इसेुवाय कम्मर कम्मर कम्मर ले ।
तर म चाहीँ मानिसहरूले चिन्लान् भनेर डराइरहेको थिएँ  । ,टर ङा चाहँच भर्मीकोय चीन्डीच डेम बीरीम ङालेयाङ ।
एक अर्का बिना अधुरो हामी । ,काट अर्कुङ छुच अधुरो कान ।
तिमीले वर्णन गरेका कुरा पढ्दा प्रत्यक्ष हेरेको वा छोएको जस्तो लाग्छ । ,ने वर्णन जाट्च कुरा पढीस्नाङ प्रक्षार ङोस्च वाच लख लैडीसलेसा ।
"पहिलो हरफ ५ अक्षरयुक्त पदावली , दोस्रो ७ अक्षरयुक्त र तेस्रो ५ अक्षरको पदावली चकित पार्ने प्रकारले रचना हुन्छ । ","पहिले हरफुर५ अक्षरयुक्नाङ पल्लो , दोस्रो अध्यक्षर कायुक्रो टेस्रो अध्यक्षो कोटनाओ अध्यक्षटिकार अनी प्रवर्लाङ ।"
यिनी घरबाट बाहिर निस्किँदैनथे र रातदिन पूजापाठमा बिताउँथे  । ,इसकोइङ बहीरीङ ख्योहोके माय्होक्ले र नाबीकयाक पूजालाङ नुहुँओला ।
चेखब पनि कथाको प्रतिक्रिया पत्रमै फिर्ता दिन्थे । ,चाह्याब ड कथाओ प्रतिक्रिया पत्रिका न फिता याहाला ।
यसैले हाइकुको लोकप्रियता बढ्दै छ र नेपालमा पनि हाइकु जनप्रिय बन्दैछ । ,इचे हाइकुओ लोकप्रिय बढीस्मन ले अनी नेपालाङ ड हाइकुलाङ जनप्रिय छान्हा ।
"याल्टा , ३ डिसेम्बर १८९८","हल्टा , ३ डिसेम्बर १ १ १ ।"
तर म जाने बुझेरै यो स्थितिमा फँसेको थिएँ  । ,टर ङा नुङ्के व्हाच इसे स्ढेमाङ फाङ्म नालेयाङ् ।
बौद्धिक व्यक्तिहरूलाई पर्याप्त अवलोकन नगरेका कारण यस्तो भएको हैन । ,बौद्धिक व्यक्तिकोके प्याप्टडीस्च अवलो मागरे कारण इन्च छान्ह्च माहाले ।
मुस्किलले ‘काठमाण्डु’ भन्ने शिर्षक पढेँ । ,मीटाहाय्होल एकालाङ घण्टडीस्च डेच शिषक पढीसा ।
भोली बिहान कोठाभाडा दिईन भने घरबेटीले के गर्छ ? ,पीहीन गोराक कोठाभोर याहाम डेनाङ इम बेटीय ही जाट्ले ?
प्रकृतिको भाषा नबुझी सुन्दर हाइकू सिर्जना हुनसक्दैन । ,प्रृतारो भाषा माव्हार्च सुन्दर हाइक सिर्जना छान्ह्के माय्होक्ले ।
"उसो त , उनीहरू मंगोलियन भोटिया जातिका हुन् । ","होच्य च , होसको मंगोयन भोटिया जाक्म आले ।"
त्यही रात म र मेरा साथीहरू मिलेर कुतीसम्मको लागि साथी खोज्ने प्रयास ग¥यौं । ,होसे नाबीक ङा अनी ङौ लाफाको खाट्म कुटीसम्मो लागी लाफा पाके प्रयास ङापीङ ।
त्यो अपरिचित मान्छे को होला ? ,होसे अपरिचिट भर्मी सु ओला ?
यस्तै हो नि हैन ? ,इन्च आले नी माहा ?
म हत्केला भरी स्वाभिमान बोकेर तिमी हिड्ने बाटोहरुमा नुनिलो आँशु बगाउँथे । ,ङा हत्नुहुँला भरी स्वाभिमान बुम नाङ व्हाके लामकोआङ गएको आँशु बगडीसोला ।
यहाँ पनि मलाई लामाकै आडको कोठामा राखियो  । ,इलाङ ड ङाके लामाङ सारौ कोठाङ डाम ।
उद्योग धन्दा बढाउनतिर नेपालका शासकहरूको बिल्कुल ध्यान छैन  । ,होस माझ धगानाङ बढ्डीके नेपालओ शाकसको बिल्ल ध्याके माले ।
म आत्तिएँ । ,ङा राहाच ङाछान्हाङ ।
एकाएक त्यो अपरिचित मान्छे कोठाको कुनामा बसेर मलाई जिस्क्याईरहे झैं लाग्यो । ,काटकाट होस अपरिचिट भर्मी कोठौ कुनाङ ङुम ङाके जीक्मलेच लख लैडीसा ।
मैले बनाएको अग्लो–अग्लो टावरहरुमा गणतन्त्रको नाराहरु लेखिए । ,ङै खास्च अग्लो फाङ्च टाक्वरकोआङ गणतन्त्रो स्याको रीक्रा ।
हाइकु कविताभित्र विम्बको प्रतिविम्ब हुन्छ । ,कान कविताभीट्री विम्बौ प्रतिविम्ब छान्ह्ले ।
माछा र पानीको जस्तो । ,मामा अनी डीओ लख ।
जिउ सिरिङग भयो । ,जीउ सिरिङग छान्हा ।
तैपनि दक्षिणका मानिसहरूसँग त्यत्तिकै कडाइका साथ व्यवहार गरिन्थ्यो  । ,ट्याङपनी दक्षिणौ भर्मीकोकठा हुट्टीकै कडा साइला व्यवहार जाट्मओला ।
अहँ भो तिमीसँग सुन्ने कान छैन । ,अहँ पीहीनकठा सेके मेनकेप माले ।
साहित्यमा पनि हाइकु छोटो कवितामा उत्कृष्ट मानिन्छ । ,मार्ह्नाङ ड हाइकु टुन्ह्च कविताआङ उट्टाकृष्ट मामन्डीले ।
अब थिएटरको लागि लेख्ने कुनै जाँगर छैन । ,अब लेयाटो लागी रीक्केन माजाँगर माले ।
त्यो अन्जानको प्रतिविम्ब चुरोटको ठुटाहरुमा देख्न थालेँ । ,होस अन्जानो प्रतिवीम्ब चुरोटौ ठुटाकोआङ डाङ्के ठाला ।
"तर पनि काठमाण्डु , म धेरै ढिला भईसकेको थिएँ । ","टर ड सीट , ङा ढेर ढिला छान्ह्मभ्याच ङालेयाङ ।"
तर खै त काठमाण्डु ? ,टर खै सीङ कुट्या ?
मेरो नागरिकता छैन । ,ङौ मीटुक माले ।
"तर , तिमी त राजनीति गर्दैमा ब्यस्त छौ । ","टर , नाङ च राजनी जाट्मन बस्ताङ ङुमन ले ।"
यसले तिमीमा कुनै असामान्य शक्ति रहेको छनक मलाई दिइरहन्छ । ,इचे नाङआङ सुन असामान्य शब्दओ छरक ङाके याहाले ।
म एकदमै अत्तालिएँ  । ,ङा काटाङन सीता ङाआ ।
तर मैले तिन लाख पु¥याउन सकिन । ,टर ङै सोम मीटाहा हुर्के माय्होका ।
शिष्याहरूमा केही तिब्बतका र केही नेपालका थिए  । ,शिषकोआङ हीड तिब्बत अनी हीड नेपाल लेया ।
कस्ले सम्बोधन गर्छ ‘म’ जस्ताको भत्किएको जीन्दगीलाई ? ,सुय सम्बोधन जाट्ले माझा मीजा जस्ताओ भट्डीस्च जिन्दिके ?
एक डेढ माइल हिँडेपछि त्यसले खुट्टामा घाउ बनायो  । ,काट डेर माइल व्हाप्याक होसय खुट्टाआङ घाउ खासा ।
यदि अहिल्यै म हिँडेँ भने मेरो खेती बरबाद हुन्छ  । ,माया इनाङ सीया डेनाङ ङौ गेसाक्म बरबाड छान्ह्ले ।
एक दिन साँझ लामाका दुई चेला आएर लामा काठमाडौंबाट सोझै कुतीतिर लागिसके भन्ने बताए  । ,का याक साँझाङ न्हीस चेम राहार लामाङ काठमाडौंलाकन सोन्ह्टीलाक लागी डेम बख्डीस्च डेच बखटाङ ।
म तिमीलाई चिन्दिनँ । ,ङा नाङके चीन्डीम ।
जुत्ताले खुट्टा खाँदै थियो  । ,जुताय खुट्टा खाँमन लेया ।
तर खै त काठमाण्डु ? ,टर खै सीङ कुट्या ?
"एउटाले उत्तर दियो , ‘कतार जाने भए लाईन बस’ । ","काटे उट्टर याहा , मेनकेपार नुहुँके डेनाङ आतार नुहुँके छान्हा ।"
चिठीमा यस्तो लेखिएको थियो–,चीठीआङ इन्च रीक्म लेया ।
उनीहरू गाउँ भन्दा तलको बुद्ध मन्दिरमा बस्न थाले  । ,होसको लाङ्घा डेनाङ म्हाकाङो बुद्ध मन्दिराङ ङुके ठाला ।
दुई–चार दिनपछि गाउँकी एक वृद्ध भिक्षुणी काठमाडौंबाट आइन् । ,न्हीस वीचार याक न्हुनीङ लाङ्घालीओ काट वृद्धीहाईङ काठमाडौंीङ राहा ।
"आजको व्यस्त समयमा मुखमा पीपी हाले जस्तो , ठूलो दृश्यलाई चरीको दृष्टिमा अटाएर सानोभित्र सम्पूर्णता दिने हाइकु साँचै कविका लागि ठूलो प्राप्ति हो । ","छीनीङो व्यवै समयाङ मुखाङ पिपीय लख , करङ्च डृश्यके चूलीओ डोरी कासाराङ अरडीच आले ।"
नेपालमा आइपुगेर थापाथलीको बैरागी मठमा बसेँ  । ,नेपालाङ टाराहार थापाथारो बैगीनाङ ङागलाङ ।
त्यही राजनैतिक आस्था र विश्वासको कारण पटक पटक गिरफ्तार भएका थिए । ,होस राजनकेनकथा अनी विश्वास कारण पटक गफिरफ्डीस्म छान्ह्म लेया ।
सुनेर मेरो मुटु टक्क अडियो  । ,सेम ङौ मीगीन टक्क हा ।
यही कवितालाई मासाओका सिकी ( १८६७–१९०२ ) ले सुधार गरी हाइकु नाम दिए । ,इलाङ कविताके नसाकाओ सिकीङ (बु २१ २०५ ) सेम हाइकु याहा ।
"कोठाको कुना कुना उसको नाम , मोबाईल नम्बर , ठेगाना खोज्न थालेँ । ","कोठाओ कुना होच्यो म्यारमीन , मोबाई नम्बर , ठेबना पाके ठाला ।"
सडकको किनारमा आमाको फोटो राखेर भीख माग्न थालेँ । ,सकौ हीके डाराङ मोइओ फोट डाम भीखीन्के ठाला ।
बस् यी नै थिए कोठाको सौन्दर्य । ,ङुके न लेया कोठाओ सौटर्याङ् ।
"डुक्पा लामा र उनका शिष्यहरूले कति जनासँग मेरो बारेमा कुरा गरिसकेका थिए , त्यो म भन्न सक्दिनँ  । ","डुक्पा लामाङ अनी उनो शिरोष्ये कुडीक जनाकठा ङौ बाराङ कुरा जाट्मनभ्याच लेया , होस डेम ङा डेके माय्होक्ले ।"
कहिले दिउँसो पूजा सामान मगाएर पूजा गर्थे भने कहिले आधी रातमा पूजा गरिरहका हुन्थे  । ,सेन याहालाङ पूजा सामान मन्छीम पूजा जाटो डेनाङ सेन आधी नाबीकआङ पूजा जाट्मन लेको ।
"हामी जुन घरमा गयौं , त्यो घरकी घरपटी साहुनी पचास आसपासकी थिइन् । ","कान जुन इमाङ नुहुँआ , होस इमो इमो साटी पैडीस्च आसडीस्च लेया ।"
यिनलाई लद्दाखको चिठी दिएँ  । ,इसके लड्डौ चिठी ङायाहाङ ।
नुवाइधुवाइ पनि बन्द थियो  । ,वाइढुवाइ ड बन्ड लेया ।
यही विम्बले नै कविताको प्राण दिएको हुन्छ । ,इलाङ वीम्बय न कविताओ प्राण याहाच छान्ह्ले ।
ब्रम्हादेव रिसले जुरुक्क उठ्यो । ,बम्हेम्देव मीरीसय जुरुक्क सोआ ।
गेटबाटै मान्छेहरु लाईन लागेका थिए । ,मीटुकलाक भर्मीकोके पामन लेया ।
तिमी र म एकै भएको ? ,नाङ अनी ङा काट न छान्ह्च ?
"ब्रम्हादेवले शक्ति हातमा लिने वित्तिकै न्यायालय , सेना , पुलिस , अख्तियार , कर्मचारी सबै सबै ठाउँमा आफूप्रति वफादार भक्तजनहरुको नियुक्ती गर्यो । ","बज्याम्देवे शक्ति मीहुटाङ लाके विट्टीकै न्यायाङ्गा , सुलिस , पुलिस , अर जम्मैओल्लौ ठाउँआङ पर्दुक्ति जाटा ।"
डुक्पा लामासँग काठको फल्याकमा उल्टो गरी खोपेर लेखिएको अवस्थामा यो सिङ्गै ग्रन्थ उपलब्ध थियो  । ,डुक्पा लामाकठा काठौ फलए पछि उल्टै खोरोप रीक्म अवस्थाआङ इसे सिङ्ग्रल उगेल उगेल लेया ।
साहित्यमा सानो मन्त्रजस्तो प्रभावपूर्ण कविता हाइकु जापानी सौन्दर्य र शान्ति आकाङ्क्षाको महत्वपूर्ण अभिव्यक्ति हो । ,सानोआङ सानो मन्त्रो प्रभावपूर्ण कविता हाइकुनी सौटा सौटा अनी शन्ति आस्काट महवत्वो अूर्ण अूर्ण अूर्ण आले ।
नेपालका गृहस्थ बौद्धहरूमा धर्मासाहु ठूला भक्त र प्रतिष्ठित थिए  । ,नेपालओ गृहस्थ बौद्धाङ धर्माहुट्के करङ्च भक्त अनी प्रतिष्टित लेया ।
आनीबुट्टी दिउँसो अरू नै काममा व्यस्त रहन्थिन् । ,आउनुबट्टि याहालाङ अरू न कामाङ व्यस्ट्र अनी आढेमाङ ।
तर हिँड्ने कुरा कसैले गर्दैनथ्यो  । ,टर व्हाच कुरा सुय माजाट्ला ।
फेरिएन मेरो निधारमा लेखिएको अभागीको मैलो दाग । ,फेरी माहा ङौ निधाराङ रीक्च अभागीओ मैलो दाजी ।
बच्चाहरुको निहुमा मुखमा आएजति शब्दमा अल्झेको मायाको आमा पनि घरको झ्यालमा बसेर दुईटी बच्चीलाई हेरिरहेकी थिईन् । ,मीजाकुङ सीनाङ मेङ्गेराङ राहाच माझामीजि शब्द अझो जाक्म मोइओ इम ड झ्याबलाङ ङुम ङोस्मन लेया ।
के कुरामा अलिकति पनि शंका छैन भने गीताको ईश्वरप्रतिको भक्तिले भारतीय सामन्तवादमा ईश्वरीय तत्त्वका रूपमा राजाप्रतिको स्वामिभक्तिलाई निश्चित रूपले असाध्यै दरिलो बनायो । ,ही कुरा इटार ड शंकामना माले डेनाङ गीताओ अपाटीओ भ्याक्तिय डेया ।
उज्यालो हुनसाथ जुरुक्क उठेको चिचिबुलिले डोकोको कुखुरा छोड्यो । ,ट्याङ्च हुनसाथ जुरुक्क सोचिबुले ढाकाओ ग्वा डासा ।
खाम्साङ फुत्त हराउँछ । ,छोसाङ फुट्ट म्हाट्ले ।
शताब्दीयौंदेखिका गीताका असङ्ख्य र विविध किसिमका व्याख्यामध्ये कुनै एउटाले पनि यस मूलभूत रूपरेखालाई अतिक्रमण गरेको छैन । ,श्रीमतिके वाङ्मलेच गीताओ असङ्ख्य अनी विविमतियमतिओ व्यामूनके काभाट्च माले ।
कुखुरा माउ कोतेकतेक भनेर निस्कियो । ,ग्वा मोइ पार्लाक सु लेखक डेम निस्डीसा ।
कोही पनि समाजवादका निम्ति गरिने सङ्घर्षमा सामेल हुनु अगावै ‘माक्र्सवादी’ हुँदैन । ,सु ड समाजवादौ निम्टी जाट्म होयोके सर्षाङ सामाल लेया अगाडी छान्ह्म माओवादी माछान्ह्ले ।
"ऋग्वेद र उपनिषद्कालका ऋषिहरू शूद्रहरूप्रति कठोर , हृदयहीन हुँदाहुँदै पनि प्रकृतिमाथि विजय हासिल गर्न , उत्पादन बढाउन र समाजलाई सङ्गठित गर्न उद्यमी थिए । ",nan
चीनसँग हाम्रो भूगोलको विकटतासँगै भाषाको विकटता पनि छ  । ,चीनकठा कानुङ भूटौ विकटकठा भाषाओ विषक ड ले ।
"तर रबर जस्तै , एउटा बिन्दुभन्दा पर होइन । ","टरबर अनी लख , काट बिन्डुभन्दा परीस्च माहाले ।"
उनीहरूको के विश्वास थियो भने भारतीयहरू अति ‘आध्यात्मिक’ तथा परलोकवादी छन् । ,होसको ही विश्वास लेया डेनाङ भारिकोके अटीको अटी माराहाढेरओ आध्यारो चथा परेको ले ।
यी भक्त सत्ताको देखिने भत्ता–सुरक्षा र नदेखिने के–के के–के भोग गरिरहेका छन्  । ,इलाक भक्त सट्टाको डाङ्च डाङ्के भट्टासुर कक्षा अनी नव्हारा ङोस्च ही छान्हाच ही जाट्मन ले ।
समाज शून्यमा बाँच्न र सञ्चालन हुन सक्तैन । ,समाज शून्यआङ जीवाके अनी सञ्चालन छान्ह्के माय्होक्ले ।
"यस कारण बुद्धले के प्रतिपादित गरे भने संसारको रचना कसैले गरेको होइन , यो सधैं अस्तित्वमा थियो र अविच्छिन्न परिवर्तनसहित यो अस्तित्वमा रहिरहने छ , आफ्नो परिवर्तनका नियमहरू अनुसार अस्तित्वमा रहिरहने छ । ","इस कारण बुद्धे ही प्रतिपादिट जाट्च डेनाङ संसारो अनी मेनो माहाले , इसे साधनव्होरा अनि अनवसव्होरा परिच लेया ।"
"पानीरोट , आलु र जेसुम","डीरोट , नामार्लाक अनी ही आर्जुम"
यस प्रयासका अनिवार्यतः दुई विशेषता छन् । ,इच प्रयाका अनी व्यतः न्हीस विशेष ले ।
यात्रामा कमरेडको आवरणमा प्रकट हुने छद्म जासुसहरूले उनलाई जासुशको आरोप लगाए  । ,यात्राङ कमरेडओ आवरणाङ प्रकट छान्ह्च लेर जाक्च जनके उसुकै नुहुँके ठाला ।
एकातिर यसको निरन्तरता शासक वर्गको भौतिक र विचारधारात्मक आवश्यकतालाई सुरक्षित गर्नुमा रहेको छ भने अर्कातिर यसका असङ्गतिहरू भिन्न भिन्न परम्परा एवम् दृष्टिकोणहरूलाई बलपूर्वक संश्लेषणमा ल्याउने यसको प्रयत्नमा व्यक्त भएका छन् । ,एकालाक इचर निरन्टर शास वर्गौ भीचार अनी विचारेषणाएर आव्यवटाके परीस्च ले डेनाङ खेरेक्च ले ।
मगध राज्यले उद्योग तथा व्यापारको महत्वपूर्ण क्षेत्रहरूमा प्रत्यक्ष रूपले हात हाल्यो । ,महराज्ये होस उद्योग चथा व्यापारो महत्वपूर्ण क्षेत्रको प्रक्षियोगय ङाहा ।
यस्तो बलात् संश्लेषणलाई अलिकति पनि उपेक्षा गर्न सकिन्न । ,इन्च बहुलास्च संशैषणके इटार ड उपेक्ष जाट्के माय्होक्ले ।
विद्युतीय यन्त्रमा यिनले मलाई याङ मो र ‘युवाहरूको गीत’को स्मरण गराए  । ,विद्यालये इन्त्राङ इसे लेन्जाय ङाके इसेमा अनी मोटाको गणुवाको सरो ल्हीङो गणरणरण्डीया ।
सामाजिक तथा बौद्धिक विकासका लागि सामाजिक अन्तरक्रिया पहिलो आवश्यकता हो । ,सामाजिक चथा बौद्धिक विकासका लागी सामाजिक अन्टरता पहिलो आव्यक आले ।
किनभने स्वैरकल्पनाहरू समकालनीन ऐतिहासिक अवस्थाको यथार्थमा आधारित हुँदैनन् । ,हीके स्वैरकल्पनाको समेन ऐतिहाक अवस्थाओ अवस्थाङ आधारितार माछान्ह्ले ।
स्पर्श गर्न नहुने समाज संरक्षित लास बनेर सकिन्छ । ,माझा जाट्के माछान्ह्च जीमार संक्षित लिएर बन्डीस्ले ।
यदि हामी अगाडि बढ्न चाहन्छौं भने त्यो बिन्दुभन्दा पर यसलाई अस्वीकार गर्नुपर्ने हुन्छ । ,माया कान अगाडी बढी काल्के चाहलैडीस्ले डेनाङ होस बिन्दुभाडेनाङके इसके परीस्च छान्ह्ले ।
"जनताहरू जडतामा डुबे , ","जनताको जुलाकाङ डुमा ,"
जेसुम खुसी भई । ,मीझारम खुसी छान्हा ।
इ . सं . ५०० पछि व्यापार र सहरहरूमा ह्रास आयो । ,यति सं . . . २०५ व्यापार अनी सहरकोआङ ह्रास राहा ।
"गीताको सम्मान गर्न सम्भवतः तयार हुने , तर यसको छ्यासमिसेपनको अर्थ निकाल्न नसकिने ‘अबोध्य ज्ञान’का सामु आफ्नो बौद्धिकतालाई बन्धक राख्न नचाहने तार्किक व्यक्तित्व कस्तो होला ? ","गीताओ सम्मान जाट्के सम्भवतः टियार छान्ह्के , तर इच्यो छ्यामिसेकओ अर्थो काबोधन डाके महीना ।"
"उपन्याशको अन्त्यतिर , लाल युवा आन्दोलनको उत्कर्षको घडीमा , सङ्ग्रामी मानवसागर उर्लिन्छ  । ","उयन्याशो अन्त्यलाक , लाल इसे बन्दो आन्दोल होच्यो उत्कओ घडीआङ , सराग्डीस्च ।"
बुझ्यौ । ,व्हाचौ ।
एक जना योद्धा ढल्यो । ,काट जना इसेद्धा फुटा ।
ताओ चिङको चिनियाँ कम्युनिष्ट पार्टीसँग नाता गाँसियो  । ,तानको चीउको चिनियाँ कम्युड पार्तिकठा स्याहा ।
"आम जनता अज्ञान , लालसा , भोग–विलास , मोह , हिंसा र यस्ता अनेकौं कमजोरीमा डुबेको छ । ","होम जनता अज्ञान , लाठी , भोलास , मोहँसा , हि यस्ता जाट्के ले ।"
देवताले पनि रोटी खान्छ त ? ,डेवटाय ड रोटी ज्याले च ?
आमाको काखमा बेरिएर डराएर थरर काम्छ मात्र । ,मोइओ मीकुवाङ बेर बीरीम ठर काम्ले मात्रै ।
यिनीहरूलाई मार्नु भनेको कुलको विनाश गर्नु हो । ,इसकोके साट्के सानी डेच कुलओ विशना जाट्के आले ।
‘म एक्लैको शरण पर । ’,ङाल्ला ङाल्लाओ शुरण परीस्के ।
यसरी भारतमा सामान्यतया प्रत्ययवादले र खासगरी विकसित वेदान्तले मानवतावादलाई र प्रगतिशील ध्येय उद्देश्यलाई समेत दमन गरे । ,इटरी भाराङ सामान्ययार प्रेमयवादे अनी खासगरीक वेत वार्लाङ ।
त्यो के भने वेदान्तको सिद्धान्तलाई र चातुर्वण्र्यको सिद्धान्तलाई समेत रबरलाई जस्तै तन्काउन सकिन्छ । ,होस ही डेनाङ वेदान्डौ सिद्धान्तके अनी चामव्रणो सिद्ध्यौ सित्मन समेतन्टारके माय्होका ।
"‘हे हे . . . बुबा आइपुग्नु भयो , मासु ल्याउनु भयो । ’","होस हेहेम ङो . . बोइ टाराको , स्या राको ।"
जनजातीय समाजमा युद्ध र हिंसा भैरहन्थ्यो । ,जनजाकै समाजाङ युद्ध अनी हिंसा छान्ह्मनङुओला ।
बाजे उठ्नुभयो झिसमिसेमै । ,बाजी सोनाको झीसमीसाङन ।
"कसैले टर्चलाइट , कसैले मोबाइल , कसैले पुल्ठो बालेर भएभर ठाउँमा खोज्यो छैन । ","सुय टीकलाइट , सुय मोबाइल , सुयर पुठो जजाको ठाउँआङ पाम माले ।"
"र , उनी समस्त चिनियाँ युवाहरूको आकर्षण , प्रेरणा र अनुकरणको सम्मोहक गीततुल्य बनिन्  । ","रून समस्त चीउयाँ इसे नामको आकर्षण , प्रेरणा अनी अनुकर अनुकर सम्म ल्हीङो ल्हीङ ।"
"गीतामा स्थितप्रज्ञको हरेक वर्णनले उसलाई प्रस्टसित चरम आत्मकेन्द्रित , अहंकारी व्यक्तित्वका रूपमा प्रस्तुत गर्दछ । ","गीताढेमाङ स्टप्र्ञो हरेक वर्णय होसके प्रस्तुटपूर्ण तरम आतार , अहकारीओ व्यवस्थापूर्ण अनी प्रवस्लेसा ।"
