MAGAR,NEPALI
फेरी ड होस्ज कुरा छान्हा ।,फेरि पनि त्यही कुरा भयो ।
ङै सीनाङ ड मायाहाले डेया ।,मैले मरे पनि दिन्न भने ।
'होसकुङ पहीलाओ सर्ट ही लेया की ? ' आस्काट भर्मीय डेया ।,'उनीहरुको पहिलेको सर्त के थियो कि ? ' अर्को मान्छेले भन्यो ।
'ङाक्न न साक्न' सौटौ मीटबोइय डेया ।,'बोल न सोल' सौताको मितबुबाले भने ।
ङै हीड डेनाङ ड मामन्डीया ।,मैले केहि भन्दा पनि मानिन ।
सासुय व्हाच ठाउँआङ मीमीक टर्डीम ङोस्के ठाला ।,सासुले हिँड्ने ठाउँमा आँखा तरेर हेर्न थाल्यो ।
ससुराय ड कुरा माङाक्के छान्हा ।,ससुराले पनि कुरा नबोल्ने भयो ।
लाङ्घाली ढेर भर्मीकोइ ड ङाके मासेहेच डेम सेया ।,गाउँका धेरै मानिसहरुले पनि मलाई नराम्रो भन्ने सुनेँ ।
साह्रै मासेहेच लैडीसा ।,साह्रै नराम्रो लाग्यो ।
न ज्याचौ स्वाड न काम जाट्के मीमन लैडीस्के ।,न खानको स्याद न काम गर्न मन लाग्ने ।
होडीकै अर्ढचेट छान्ह्मन नुङा ङा ।,त्यतिकै अर्धचेत हुँदै गएँ म ।
सेनर सेन राप्के मीमन लैडीस्के ।,कहिले काहीँ रुन मन लाग्ने ।
इलाङ ङौ डेच सुर मालेसा ठोरै लेचकोइ ड हीड डेके माय्होका ।,यहाँ मेरो भन्ने कोही रहेन छ थोरै भएकाहरुले पनि केहि भन्न सकेन ।
ङौ पहीला होटरी कुरा माखोल्च लेनाङ ङा होस समय न सीमनुहुँओला ।,मेरो पहिले त्यसरी कुरा नखुस्केको भए म त्यही समय नै मरिजान्थ्यो ।
इनाङ इन्च न छान्ह्के मापरीस्के लेया ओला डेम आर्मीटा ङै ।,अहिले यस्तो नै हुनु नपर्ने थियो होला भन्ने सम्झेँ मैले ।
फेरी ही जाट्के ?,फेरि के गर्ने ?
ङा सीच लेनाङ न्हीस माझामीजै कुडीक डुखा डीन्ला ओला ।,म मरेको भए दुईटी छोरीले कति दुःख पाउथ्यो होला ।
कान्छीमोइय साट्मन डास्ला ओला ।,कान्छीआमाले मारेरै छाड्थ्यो होला ।
सेनर सेन हुन्च कुरा राहाके मीमनाङ ।,कहिले काँही यस्तै कुरा आउने मनमा ।
सुके ही आरोप लैडीके खै इसे भर्मीकुङ चलन ।,कसलाई के आरोप लगाउँ खै यो मानिसहरुको चलन ।
लेन्जामीजा डेनाङ माझा करङ्च लेसा ।,छोरा भन्दा छोरी ठूलो रहेछ ।
इसे डुनीयाङ लेन्जा फुन्हा डेनाङ मात्रै होस मोइ छान्ह्के लेसा ।,यो दुनियामा छोरा जन्मायो भने मात्र त्यो आमा हुँदो रहेछ ।
माझामीजाके जन्म याहा डेनाङ हीड न ही ?,छोरीलाई जन्म दियो भने केहि न कहि ?
ज्यान फुङ्ग छोकार फु म्हुटनाङ ड भ्याट्ट फुट्ले लख छान्ह्मन राहा ।,जिउ फुङ्ग सुकेर फु फुक्दा पनि भ्यात्त ढल्ला झैं हुँदै आयो ।
ढेमाङ लेको लाङ्घाङ भर्मीको पखलाय फुट्च डेम हेल्थपोष्टो अहेब होलाङ नुङार राहाच लेसा ।,माथि लेकको गाउँमा मानिसहरु पखलाले ढलेको भनेर हेल्थपोष्टको अहेब त्यहाँ गएर आएको रहेछ ।
"छो स्वाड मालेनाङ , डी सुहुङ्के मालेनाङ वा माज्याम मागाम छोक्म नुङ्च ज्याके काट पिन्ट सलाइन याहाम छान्ह्ले की डेम लैडीसा ।","खानाको स्वाद नभएर , पानीको तिर्खा नभएर वा नखाएर नपिएर सुक्दै गएको शरीरलाई एक पिन्ट सलाइन दिए हुन्थ्यो कि भन्ने लाग्यो ।"
'माहाले डै ङा ढेमाङ छाच ङोस्म राहाच फेरी हेल्थपोष्टाङ ड छाचको होडीकन ले' होच्य डेया ।,'होइन दिदी म माथि बिरामी हेरेर आको फेरि हेल्थपोष्टमा पनि बिरामीहरु त्यतिकै छन्' उसले भन्यो ।
अहेब म्हाकाङ झाला ।,अहेब तल झर्यो ।
होस नाबीकीङ मीटुक बीका ।,त्यसै रातदेखि पेट दुख्यो ।
पीहीनपल्ट गोराकीङ च मीटुक चेम छेरपाटी सुरु छान्हा ।,भोलिपल्ट बिहानदेखि त पेट काटेर छेरपाटी शुरु भयो ।
ङै य्होकमाय्होक पचैडीके पा ।,मैले सकिनसकि पचाउन खोजे ।
डेनाङ ड छेरपाटी मारोक्डीसा ।,भए पनि छेरपाटी रोकिएन ।
काम जाट्केन परीसा ।,काम गर्नै पर्यो ।
बल मालेम फुटुनाङसम्म काम जाट्मन ङुआ ।,शक्ति नभएर ढल्दासम्म काम गरिनै रहेँ ।
सुकेर हीड ठाहा माले ।,कसैलाई केहि थाहा छैन ।
डेइङ सुके डैइङ ।,भनौं कसलाई भनौं ।
बाडल लैडीस्म ग्वोट हुप्प नाबीक ।,बादल लागेर जून छेकेको रात ।
पार्लाक पाखाङ चीऊ हुच मात्रै सेले ।,पारी पाखामा कुकुर भुकेको मात्र सुनिन्छ ।
जम्मै मस्ट मीमीकराठाङ मीस्मनलेच समय।,सबै मस्त निन्द्रामा सुतिराखेको समय ।
छुम्नाच लेनाङड बेन काके लगलग होयोम बहीरीङ नुहुँकेन परीसा ।,अँध्यारो भएपनि दिसा गर्न लगलग कामेर बाहिर जानै पर्यो ।
नुङा ।,गएँ ।
इट न सोम नाबीक ङाचेआङ ।,यसरी नै तीन रात काटिसकेँ ।
अब भर्याङीङ म्हाकाङ झाल्के ड माय्होक्च छान्हा ।,अब भर्याङबाट तल ओर्लन पनि नसक्ने भयो ।
छेरपाटी ड माहाटा ।,छेरपाटी पनि हरायो ।
डी लाके नुहुँके परीसा डेम सोच च होलाङन फुट्लेसा ।,पानी लिन जानु पर्यो भनेर उठेको त त्यहीँ ढलेछ ।
खै कुडीक बेला रीहीना ।,खै कति बेला बिउँझियो ।
मीमक ङोस्च च पहेँलपुर मात्रै डाङा।,आँखा उघारेको त पहेँलपुर मात्र देखेँ ।
कलापीङ मात्रै सेहेम डाङा फेरी डी आर्मीटा ।,एकछिन पछि मात्र राम्ररी देखेँ फेरि पानी सम्झेँ ।
सोके पा फेरी फुटा ।,उठ्न खोजेँ फेरि ढलेँ ।
सुय सेके ?,कस्ले सुन्ने ?
म्हाकाङ मीस्मनलेच सौटाय सेनाङ ड मासेनाङ लख जाट्मनङुआ ।,तल सुतिराखेको सौताले सुने पनि नसुने झैं गरिरह्यो ।
सौटौ करङ्च माझामीजै सेनाङ राक्मयाहाले की डेम लैडीसा ।,सौताकी ठूली छोरीले सुने ल्याइदिन्छन् कि भन्ने ल्याग्यो ।
'डी . . . डी . . . डी . . . ' फेरी ड ङा च्याका ।,'पानी . . . पानी . . . पानी . . . ' फेरि पनि मैले कराएँ ।
छेवाङ अस्पटाल माले ।,छेउमा अस्पताल छैन ।
मेडीकल माले ।,मेडिकल छैन ।
होलाङ टाहाके सक्टी माले डेम ड ठाहा ले ।,त्यहाँ पुग्ने शक्ति छैन भन्ने पनि थाहा छ ।
डेनाङर जीवाके मीमन लेया ।,भएनि बाँच्ने मन भयो ।
ङा ङाल्लाके माल्नाङ ड न्हीस माझामीजौ लागी डनाङ ड जीवाके मीमन छान्हा ।,म आफैंलाई नभए पनि दुईटी छोरीको लागि भए पनि बाँच्ने मन भयो ।
'हे त्रिदेव ! ङाके जीवाटाक्म याहानी । ' ङै भगवानके सक्टी ङीहा ।,'हे त्रिदेव ! मलाई बचाई देउ । ' मैले भगवानलाई शक्ति मागेँ ।
फैरी डी आर्मीटा ।,फेरि पानी सम्झेँ ।
मार्ह्चन लेनाङ ढेमाङ नामाङ क्लिक क्लिक डेम भुर्च ग्वागलिङ डाङ्नाङ डी सुहुन्म ङीह्च डेम बज्ये डेचको सेम ङालेयाङ ।,सानै छँदा माथि आकाशमा क्लिक क्लिक भनेर उड्ने ग्वागलिङ देख्दा पानी प्यास लागेर मागेको भनेर बज्युले भन्नु भएको सुनेको थिएँ ।
डी ङीह्नाङ डी मायाहानाङ हुन्च छान्ह्ले डैम बज्ये डेचको आर्मीटा ।,पानी माग्दा पानी नदिए त्यसो हुन्छ भन्ने बज्युले भन्नु भएको सम्झेँ ।
ङै ड डी ङीहीचके डी मायाहाचन आले च ?,मैले पनि पानी माग्नेलाई पानी नदिकै हो त ?
मीमनाङ इन्च कुरा ड गेसा ।,मनमा यस्तो कुरा पनि खेल्यो ।
भर्मीय भर्मीओ जीवनाङ महट्व माय्होक्च बेलाङ मात्रै व्हारके लेसा ।,मानिसले मानिसको जीवनको महत्व नसक्ने बेलामा मात्र बुझ्दो रहेछ ।
पहीला पहीला सीके माबीरीके भर्मी होस बेला ढेर बीरीस ख्योहा ।,पहिले पहिले मर्न नडराउने मान्छे त्यस बेला धेरै डर लाग्यो ।
जीवनो माया लैडीसा ।,जीवनको माया लाग्यो ।
डेनाङड जाट्के य्होक्च हीड ड मालेया ।,भएपनि गर्न सकिने केहि पनि थिएन ।
'डी . . . डी . . . डी . . . ' आवाज न म्हाट्ले लख छान्हार नुङा ।,'पानी . . . पानी . . . पानी . . . ' आवाज नै हराउँला झैं भएर गयो ।
"सासे मात्रै डेनाङ ड डेमन ङुआ , 'डी . . . डी . . . डी . . . । '","सासले मात्र भए पनि भनिनै रहेँ , 'पानी . . . पानी . . . पानी . . . । '"
ट्याङ्च छान्ह्च लख लैडीसा ।,उज्यालो भए झैं लाग्यो ।
बहीरीङ भर्मीको कुरा ङाक्च ङासेआङ ।,बाहिर मान्छेहरु कुरा बोलेको सुनेँ ।
फेरी डी आर्मीटा ।,फेरि पानी सम्झेँ ।
पहीला डेनाङ होस म्हाट्च लख लैडीसा ।,पहिले भन्दा होस हराएको झैं लाग्यो ।
आवाज म्हाटा ।,आवाज हरायो ।
मीमीके मात्रै डाङ्मन लेया ।,आँखाले मात्र देख्दै थियो ।
माझामीजौ ह्याका राहा ।,छोरीको याद आयो ।
लानि दिनि राहा डेनाङ छान्ह्च लेया ।,लानि दिनि आयो भने हुने थियो ।
ङा सीके न छान्हा ।,म मर्ने नै भैगो ।
सुय डेके होसकोके ?,कस्ले भन्ने उनीहरुलाई ?
माझामीजाकोके भैंसीओ डुढ याहालेसा ।,छोरीहरुलाई भैंसीको दूध दिएछ ।
भाँडा ङाहाच ङासेआङ ।,भाँडा बजेको सुनेँ ।
सौटौ माझामीजा करङ्च चाँही टलाढेमाङ राहाले की लख लैडीसा ङाके ।,सौताको छोरी ठूली चाँहि तलामाथि आउँछ कि जस्तो लाग्यो मलाई ।
डेनाङ लख होसे ढेमाङ राहा ।,भने जस्तै उ माथि आइ ।
ङा लेठाङ ठाउँसम्मन राहा ।,म भए ठाउँसम्मै आए ।
मीस्म ङुच डाऽर ओला होसे ल्हेस्म नुङा ।,सुति बसेको देखेर होला उ फर्केर गइ ।
'बुहारी ? ए बुहारी ? ' पार्लाक इमाओ बुढी बज्या राहार च्याका ।,'बुहारी ? ए बुहारी ? ' पल्लो घरकी बुढी बज्यै आएर कराइन ।
'टलाढेमाङ ले कानुङ मोइ' सौटौ माझामीजै डेया ।,'तलामाथि छ हाम्रो आमा' सौताकी छारीले भनि ।
'ही छान्हा बुहारी नाङके ?','के भएको बुहारी तिमीलाई ? '
ङै कुरा ङाक्के माय्होका ।,मैले कुरा बोल्न सकिन ।
मीमीकडी मात्रै ङाजुरुकाङ टुलुटुलु ।,आँसु मात्र बगाइरहेँ टुलुटुलु ।
"'डेउ न डेउ , नाङके ही छान्हा ? ' बज्ये फेरी गीन्चौ गीन्म जाटा ।","'भन न भन , तिमीलाई के भयो ? ' बज्यैले फेरि सोधेको सोध्यै गरी ।"
ङै सासे मात्रै डेया ।,मैले सासले मात्र भने ।
बज्ये हीड ड सेम माय्होका ।,बज्यैले कहि पनि सुन्न सकेन ।
मीटालु होयोका ।,टाउको हल्लाएँ ।
माव्हारा ।,बुझेन ।
"'ङा झाँक्री लाम राहालाङ बुहारी' बज्ये डेया , 'ङा नो माझामीजाको अनी लेन्जाके ड खबर टाहाक्म याहालाङ । '","'म झाँक्री लिएर आउँछु बुहारी' बज्यैले भनिन् , 'म तिम्रो छोरीहरु र लोग्नेलाई पनि खबर पठाइ दिउँला । '"
होटार डेम बज्या होटीङ व्हा ।,त्यति भनेर बज्यु त्यहाँबाट हिडी ।
माझामीजा आर्मीटम ङुमनङुआ ।,छोरीहरु सम्झेर बसिरहेँ ।
ङा सीनाङ ड बोइमाइटीके ठाहा माछान्ह्के छान्हा ।,म मरे पनि बाउमाइतीलाई थाहा नहुने भयो ।
फुन्ह्नाङअनी सीनाङ काटन छान्ह्ले लख लैडीसा ।,जन्मदा अनि मदा एउटै हुन्छ जस्तो लाग्यो ।
डेनाङड जाट्ले की डेम आस मासीम लेया ।,भएपनि गर्छ कि भन्ने आश मरेको छैन ।
माझामीजाको लेच डेनाङ जीवाके ङालेआङ डेम लैडीसा ।,छोरीहरु भएको भए बाँच्ने थिएँ भन्ने लाग्यो ।
बुढी बज्ये झाँक्री लाम राहा ।,बुढी बज्यैले झाँक्री लिएर आइन् ।
झाँक्री सौटौ मीटबोइ चाँही लेसा ।,झाँक्री सौताको मितबुबा चाँहि रहेछ ।
"'लै भडै सेहेम ङोस्मयाहानी , माछान्ह्ले डेनाङ उषा जाट्के अस्पटाल नुहुँके पर्ले । ' बुढी बज्य डेया ।","'लै भदा राम्ररी हेरिदिनुहोस् , भएन भने औषधी गर्न अस्पताल लानु पर्छ । ' बुढी बज्यैले भनिन् ।"
"'छान्ह्ले छान्ह्ले ङै बीसेक जाट्लाङ नी , खरानी इटार लार राहानीको च बज्या । ' झाँक्रीय डेयाको ।","'हुन्छ हुन्छ म बिसेक पार्छु नि , खरानी अतिकति लिएर आउनुहोस् त बज्यै । ' झाँक्रीले भन्नु भयो ।"
बज्ये खरानी नुहुँम याहाको ।,बज्यैले खरानी लगेर दिनु भयो ।
झाँक्रीय खरानी इटार फासफुर मीहुटलाक मोलार ङौ मीहुट जीमा ।,झाँक्रीले खरानी अलिकत फासफुर हाततिर दलेर मेरो हात समात्यो ।
कलाप वीचार जाट प्याक च भूटे ङुप्लेसा डेया ।,एकैछिन विचर गेर पछि त भूतले भेटेछ भने ।
'अब अछेटा अनी घ्यू लाम राहानी बज्या । ','अब अछेता र घ्यू लिएर आउनु बज्यै । '
झाँक्रीय ही ही डेया बज्ये होट न जाटा ।,झाँक्रीले जे जे भन्यो बज्यैले त्यसै नै गरे ।
लेचभरो भूटकुङ म्यारमीन हीलार पुकार्डीम झाँक्रीय मन्छडीआ ।,भएभरको भूतहरुको नाम गनेर पुकारेर झाँक्रीले मन्छाए ।
'ही छान्ह्च बुहारीके ? ' राहाच भर्मीय गीना ।,'के भएको बुहारीलाई ? ' आएको मान्छेलाई सोध्यो ।
'कान इलाङ छेवाङ लेनाङड हीड ठाहा माछान्हा' काटे डेया ।,'हामी यहाँ छेवैमा भएपनि केहि थाहा भएन' एउटाले भने ।
मन्छडी प्याक झाँक्रीय डोष सार्डीके पर्ले डेया ।,मन्छाए पछि झाँक्रीले दोष हटाउनु पर्छ भने ।
"'बीरीके मापरीस्ले बज्या , इन्च छाचको ङै कुडीक बीसेक जाटा कुडीक । '","'डराउनु पर्दैन बज्यै , यस्तो बिरामी मैले कति बिसेक पारेँ कति । '"
'ही छान्ह्लेसा इसके ? ' सासु च्याका ।,'के भएछ यसलाई ? ' सासु कराइन् ।
'खोइ कानके च हीड डेनाङ पो चु पापीय । ' ससुरा राहार डेया ।,'खोइ हामीलाई त केहि भने पो चु पापिले । ' ससुरा आएर भने ।
'माया ड लेके परीसा नी मीमनो कुरा डेके च । ' बज्ये डेयाको ।,'माया पनि हुनु पर्यो नि मनको कुरा भन्न त । ' बज्यैले भन्नु भयो ।
"'ङौ बुहारीके ङै माया माजाट्नाङ सुय जाटा इनाङसम्म ? ' सासुय च्याका , 'ढेर व्हारच माछान्ह्नी है बुढी । '","'मेरै बुहारीलाई मैले माया नगरे कस्ले गर्यो अहिलेसम्म ? ' सासुले कराइन , 'धेरै जान्ने नहुनु है बुढी । '"
ठोरै लख चाँही साँच्चीन मायाय ।,थोरै जसो चाँहि साँच्चिकै मायाले ।
य्होक्च लेनाङ इमाङ राहार याक नाबीक माडेम च्याक्के राहाके ससुरा सासुओ टनाक्के मात्रै माया लेया ।,सक्ने हुँदा घरमा आएर दिन रात नभनि कराउन आउने ससुरा सासुको देखाउने मात्र माया थियो ।
भर्मी ड हुन्चन ।,मान्छे पनि त्यस्तै ।
'आले डेच मीमनो कुरा मीमनाङन घेरेलाक्म डौ । ','हो भनेको मनको कुरा मनमै कुवाएर राख्छ । '
"'वीचरा कुडीक व्हार्च लेया । सेनर डेनाङ ड मीमन बीकाक्च कुरा माक्के । अर्कुङ डेप्याकीङ काट आर्चा ड माछुके । य्होक्च जटी होच्य चाँही याहाके , इन्च भर्मी पो इसे च । '","'विचर कति बुझ्ने थिइ । कहिल्यै भए पनि मन दुखाउने कुरा नबोलने । अर्काको भनेपछि एउटा सियो पनि नछुने । सके तजि उसले चाँहि दिने , यस्तो मान्छे पो यो त । '"
कुरा ङाक्के पालो न माडीन्ह्चसम्म ।,कुरा बोलने पालो नै नपाउनेसम्म ।
यहोक्च लेनाङ भर्मीय ठीचोमीचो जाटार डाच डाङ्नाङ ड काट कुरा ङाक्के माय्होक्चकोके होस बेलाङ ही डेनाङ ड ङौ लागी होस हीड लख मालैडीसा ।,सक्ने हुँदा मान्छेले थिचोमिचो गरेर राखेको देखे पनि एउटा कुरा बोल्न नसक्नेहरुले त्यस बेलामा जे भने पनि मेरो लागि त्यो केहि जस्तो लागेन ।
मीमनाङ माया लेनाङ ड चैडीस्च बेलाङ साठ मायाहाचकुङ अगाडी डुखा खुसी लेचकुङ अगाडी मीमीकडी टनाक्के मीमन मालेनाङड मीमीकडीके बाट्के माय्होका ङै ।,मनमा माया भए पनि चाहिने बेलामा साथ नदिनेहरुको अगाडि थेन दुःखमा खुसी हुनेहरुको अगाडि आँसु देखाउने मन नभएपनि आँसुलाई रोक्न सकेन मैले ।
मीगालाङ मीमीकडीओ खोला बगडीस्च डाङार बज्या ड रापाको ।,गालामा आँसुको खोलो बगेको देखेर बज्यै पनि रुनुभयो ।
'बुहारी ! नाङके हीड माछान्ह्ले । माराप्न ल ङै माझामीजाकोके फोन जाट्के बीर्हीना । होसको राहाप्याक अस्पटालाङ नुहुँने ल । ','बुहारी ! तिमीलाई केहि हुँदैन । नरोउ ल मैले छारीहरुलाई फोन गर्न लगाएँ । तिनीहरु आएपछि अस्पतालमा लान्छौ ल । '
टूचू ल्हेस टाहाकेभ्याच बज्यौ डीमागाङ इनाङौ नयाँ भर्मी डेचकुङ डेनाङ वीचार लेच लैडीसा ।,साठी वर्ष पुगिसकेको बज्यैको दिमागमा अहिलेको नयाँ मान्छे भन्नेहरुको भन्दा नयाँ विचार भएको लाग्यो ।
'ङै ग्वा भाल्या याहालाङ डेम बल गीहीम ले । सोम याक न्हुनीङ याहाके पर्ले हीड माछान्ह्ले चुप लैडीस्न । नाङ ड ङौ माझामीजा होस ड ङौ माझामीजा । नाङ न्हीस जनाके न माया होटारन । ' झाँक्रीय डेया ।,'मैले कुखुरा भोल दिउँले भनेर बल मागेको छु । तीन दिन पछि दिनु पर्छ कही हुँदैन चुप लाग । तिमी पनि मेरी छोरी उ पनि मेरो छोरी । तिमी दुई जनालाई नै माया उत्तिनै । ' झाँक्रीले भने ।
नाबीक छान्ह्मन नुहुँमन लेया ।,रात छिप्पिदै गइरहेको थियो ।
सु राहाम सु नुहुँम जाट्मन लेया ।,कोहि आउँदै कोहि जाँदै गर्दै थिए ।
'नाङके हीड ठाहा माले बुहारी ? ' काटजनै होस्के गीना ।,'तिमीलाई केहि थाहा छैन बुहारी ? ' एकजनाले उसलाई सोध्यो ।
'वीचरा होसके ही ठाहा ? ' आस्काट काटजनै कुरा फ्याट्ट चेया ।,'विचर उसलाई के थाहा ? ' अर्को एकजनाले कुरा फ्याट्ट काट्यो ।
'होटार छान्ह्नाङ च ठाहा डीन्के परीस्च है' आस्काटे डेया ।,'यति हुँदा त थाहा पाउनु पर्ने है' अर्कोले भन्यो ।
'ङा सुयो गार्ड चाँहि माहाले । ङै इन्च खास्च आले च ? ' सौटै फनक्क ल्हेस्म डेया ।,'म कसैको गार्ड चाँहि होइन । मैले यस्तो बनाएको हो त ? ' सौतासे फनक्क फर्केर भन्यो ।
ङै कुरा ङाक्के माय्होकले डेच कुरा होसकोके ठाहा छान्ह्मभ्या ।,मैले कुरा बोल्न सक्दैन भन्ने कुरा उनीहरुलाइै थाहा भैसक्यो ।
'इसके म्हाकाङ नुहुँनी' ससुराय डेयाको ।,'यसलाई तल लैजाउँ' ससुराले भन्नु भयो ।
होटीङ ङाके हीड ड ठाहा माछान्ह्के छान्हा ।,त्यसपछि मलाई केहि पनि थाहा नहुने भयो ।
अनकन्सस छान्हा ङा ।,अनकन्सस भएँ म ।
अबेर न्हुनीङ मात्रै फैरी मेडीकलाङ राहा ।,अबेर पछि मात्र फेरि मेडिकलमा आयो ।
छो ज्याके बेला छान्ह्लेसा ।,भात खाने बेला भएछ ।
सौटै छो ठोहोच कास्च ज्याच ठाहा डीन्हा ।,सौताले खाना पकाएर खुवाएको खाएको थाहा पाएँ ।
अझै भर्मीको राहाके नुहुँके जाट्मन लेया ।,अझै मानिसहरु आउने जाने गरिरहेका थिए ।
"'इलाङ बीसेक छान्ह्ले लख माले , अस्पटालाङ नुहुँके पर्ले बरु । ' बज्ये डेयाको ।","'यहाँ बिसेक हुन्छ जस्तो छैन , अस्पतालमा लानु पर्छ बरु । ' बज्यैले भन्नु भयो ।"
'महीला हेल्थपोष्टाङ नुहुँके पर्ले । होलाङ माछान्हा डेनाङ आस्काट अस्पटालाङ नुहुँके पर्ले की माछान्ह ले च ? होच्यो मेन्केपाङ सुन छुमनले च । ' बुढीय फेरी च्याका ।,'पहिले हेल्थपोष्टमा लानु पर्छ । त्यहाँ भएन भने अर्को अस्पतालमा लानु पर्छ नि हुँदैन छ त ? उसैको कानमा सुन छँदैछ त । ' बुढीले फेरि काराइ ।
"'माहाले माहाले , इसके ङैन गेपाक्लाङ कुलाङर नुहुँके मापरीस्ले । ' झँक्रीय टुके कुरा जाटा ।","'होइन होइन , यसलाई मै निको पार्छु कतै लानु पर्दैन । ' झाँक्रीले रोक्ने कुरा गर्यो ।"
छो ज्याके भ्या ।,खाना खाइ सक्यो ।
सु इलाक सु उलाक ल्हेस्म मीसा ।,कोहि यता कोहि उता पल्टिएर सुत्यो ।
सासु अनी सौटा अली पार्लाक बस कुरा जाट्मन लेया ।,सासु र सौता अलि पर बस कुरा गरिरहेका थिए ।
'सीट्के परीस्च ढुलो नामसुय भुरुक्च सेहेच' सासुओ आवाज सेया ।,'बढार्नु पर्ने धुलो हावाले उडाएको राम्रो' सासुको आवाज सुन्यो ।
ङौ मीमन जोम राहा ।,मेरो मन पोलेर आयो ।
ङा जुटर डेनाङ ड जीवानाङ छान्ह्ला डैम लैडीसा ।,म जसरी भए पनि बाँचे हुन्थ्यो भन्ने लाग्यो ।
होस बेलाङ ङै राप्के डेनाङ जाट्के हीड य्होक्च मालेया ।,त्यस बेला मैले रुने भन्दा गर्न केहि सक्ने थिएन ।
य्होक्च बेला ड राप्मन जीवाके परीसा ।,सक्ने बेला पनि रुएर बाँच्नु पर्यो ।
माझामीजा राहार अस्पटालाङ नुहुँने डेम आस ड मासीम ले।,छोरीहरु आएर अस्पतालमा लान्छ भन्ने आश पनि मरेको छैन ।
'अब इसे ठीक ओला लख माले । म्हेनीङ डेनाङ हीड परिवर्तण माले च ? ' ससुराय डेयाको ।,'अब यिनी ठिक होला जस्तो छैन । अघि भन्दा केहि परिवर्तण छैन त ? ' ससुराले भन्नु भयो ।
छेरपाटीय हुनच छान्ह्च डेच कुरा होसकोइ ठाहा डीहीन्मभ्याम लेया ।,छेरपाटीले त्यस्तो भएको भन्ने कुरा उनीहरुले थाहा पाइसकेको थियो ।
होसकोइ डी न माओल्म हुन्च छान्ह्च ड डेया ।,उनीहरुले पानी नै नपुगेर त्यसो भएको पनि भने ।
'ढेमलाकीङ भर्मीको सेन टाराहाले ? ' काटे गीना ।,'माथिबाट मान्छेहरु कहिले आइपुग्छ ? ' एउटाले सोध्यो ।
"'फोन जाट्मभ्याम ले , छीट्टै टाराहाले । ' बज्ये डेया ।","'फोन गरिसकेको छ , छिट्टै आइपुग्छ । ' बज्यैले भने ।"
"'ङे इसे कुरा गोराकीङ न डेचौ डेमन ले , कुडीक डेया मामनडीनाङ ड ङा बुढीय नुहुँके माय्होक्ले ही जाट्के बाबु ? लौ न इसके जीवाटाक्म याहाकेपरीसा । ' बज्य डेयाको ।","'मैले यो कुरा बिहानदेखि नै भनेको भनेकै छ , कति भने नमाने पनि म बुढीले लाना सक्दिन के गर्नु बाबु ? लौ न यसलाई बचाइ दिनुपर्यो । ' बज्यैले भन्नु भयो ।"
'होच्यो इमौ भर्मीय माआल्के डेप्याक ही जाटी बज्या ? ' होस ठिटाय डेया ।।,'उसको घरको मान्छेले नलाने भनेपछि के गरौं बज्यै ? ' त्यस ठिटोले भन्यो ।
ङै होस ठिटाके पिलिक्क पिलिक्क ङोसा मीमीकीङ मीमीकडी बगडीया ।,मैले त्यो ठिटोलाई पिलिक्क पिलिक्क हेरे आँखाबाट आँसु बगाएँ ।
ङौ मीमीकीङ मीमीकडी डानार होस ठिटा ड ग्याच ग्याच छान्हा ।,मेरो आँखामा आँसु देखेर त्यो ठिटो पनि रातो रातो भयो ।
'ङै जुरुक्क बुम नुहुँनीङ च ? ' होस ठिटै डेया ।,'मैले जुरुक्क बोकेर लैजाउँ त ? ' त्यो ठिटोले भन्यो ।
'मामा इसे डैके अस्पटालाङ नुहुँनाङ मात्रै बीसेक छान्ह्ले नत्र डैनाङ बीसेक छान्ह्मन माछान्हले ङोस्नीस् । ','मामा यिनी दिदीलाई अस्पतालमा लगे मात्र विशेक हुन्छ नत्र भने विशेक हुँदै हुँदैन हेर्नुस् । '
'नाङके ही छान्हा च ? ' ससुरा डाम्छुसा ।,'तिमीलाई के भयो त ? ' ससुरा रिसाए ।
'आले मामा ङा लख ढेर भर्मीको फुन्ह्के पर्ले इलाङ । ' ठिटै बराबरी मेङ्गेर ल्हेटा ।,'हो मामा म जस्तै धेरै मानिसहरु जन्मनु पर्छ यहाँ । ' ठिटोले बराबरी मुख फर्काए ।
'नाङ छीट्टो इटीङ नुहुँके की हीड जाटार टनाक्के परीसा ? ','तिमी छिट्टो यहाँबाट जाने कि केहि गरेर देखाउनु पर्यो ? '
नामारलाकौ बूंली ङाहा ओला ।,बेलुकिको चार बज्यो होला ।
ङा होटरी न ओछ्यानाङ लम्पसार परीसुमन ङालेयाङ ।,म त्यसरी नै ओछ्यानमा लम्पसार परिरहेको थिएँ ।
बज्ये ङाके माडास्मले ।,बज्यैले मलाई छोडेको छैन ।
ङा मेन्केप सेमन ङालेयाङ् ।,म कान सुनिरहेकै छु ।
मीमीक डाङ्क ङालेयाङ ।,आँखा देखिरहेकै छु ।
मीहील भर सोट्के माय्होक्मन लेया ।,खुट्टा भने उठाउन सकिरहेको थिएन ।
आस्काट डुखा पीडा छान्ह्के हीड ड मालेया ।,अर्को दुख्ने पिडा हुने केहि पनि थिएन ।
